id,name,email,gender,grade
73,Niccolo Dyball,ndyball20@usatoday.com,Male,5.8
74,Bernardine Bateup,bbateup21@hc360.com,Female,8.9
75,Renaldo Goman,rgoman22@prlog.org,Male,2.0
76,Rubie Gillooly,rgillooly23@newsvine.com,Female,3.5
77,Winona Euplate,weuplate24@t.co,Female,6.5
78,Godard Bartley,gbartley25@guardian.co.uk,Male,1.9
79,Pen Gladbeck,pgladbeck26@sohu.com,Male,9.2
80,Beulah Nassau,bnassau27@google.ru,Female,2.2
81,Dave Okill,dokill28@people.com.cn,Male,4.5
82,Cori Hunt,chunt29@odnoklassniki.ru,Male,4.5
83,Josee Delagua,jdelagua2a@army.mil,Polygender,7.9
84,Aldwin Doherty,adoherty2b@clickbank.net,Male,9.8
85,Harcourt Widdop,hwiddop2c@shop-pro.jp,Male,4.0
86,Doroteya Schinetti,dschinetti2d@go.com,Female,6.2
87,Aubrey Gokes,agokes2e@cyberchimps.com,Male,3.4
88,Bernie Jickles,bjickles2f@hatena.ne.jp,Male,5.8
89,Lodovico Stains,lstains2g@jiathis.com,Male,7.4
90,Page de Merida,pde2h@thetimes.co.uk,Male,7.8
91,Dorise Kirrens,dkirrens2i@fda.gov,Female,3.1
92,Reinwald Pessel,rpessel2j@feedburner.com,Male,1.6
93,Roobbie Brotherhed,rbrotherhed2k@cbsnews.com,Female,6.9
94,Lemmie Braisher,lbraisher2l@economist.com,Male,6.7
95,Myrtia Anthiftle,manthiftle2m@zimbio.com,Female,7.7
96,Ernie Burren,eburren2n@google.pl,Male,2.0
97,Cosette Mayes,cmayes2o@blogger.com,Female,8.7
98,Arnuad Ismail,aismail2p@washington.edu,Male,3.1
99,Pierre Friary,pfriary2q@deviantart.com,Male,1.0
100,Lenna Klimsch,lklimsch2r@prlog.org,Female,3.1
